Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 3,Shonto Well (3A-144),8/11/98,111 6 43.5750,36 8 4.637400,More Risk,"19,100","Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),30.8,No (Below 50 micrograms/liter),365,"No (Below 1,000 micrograms/liter)",0.7,No (Below 4 micrograms/liter),1.1,No (Below 5 micrograms/liter),18.7,No (Below 100 micrograms/liter),87.1,"No (Below 1,300 micrograms/liter)","20,200.00",Yes (Above 300 micrograms/liter),81.8,Yes (Above 15 micrograms/liter),500,Yes (Above 50 micrograms/liter),0.39,No (Below 2 micrograms/liter),13.5,No (Below 730 micrograms/liter),5.4,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),73.2,No (Below 260 micrograms/liter),"2,110.00","No (Below 5,000 micrograms/liter)",30.5,Yes (Above 15 pico-curies/liter),18.8,No (Below 50 pico-curies/liter),10.2,Yes (Above 0.047 pico-curies/liter),1.02,No (Below 5 Pico-curies per Liter),1.12,No (Below 5 pico-curies/liter),0.88,Yes (Above 0.21 pico-curies/liter),0.766,No (Below 1.3 pico-curies/liter),0.298,No (Below 1.5 pico-curies/liter),2.13,No (Below 20 pico-curies/liter),0.069,No (Below 20 pico-curies/liter),0.83,No (Below 20 pico-curies/liter)
Section 2,Area 4,5/18/99,109 13 48.477,36 32 29.2146,More Risk,160,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),7.4,No (Below 50 micrograms/liter),203,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",40.9,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),15.1,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),38.3,No (Below 260 micrograms/liter),6.1,"No (Below 5,000 micrograms/liter)",133,Yes (Above 15 pico-curies/liter),44.6,No (Below 50 pico-curies/liter),0.34,Yes (Above 0.047 pico-curies/liter),2.93,No (Below 5 Pico-curies per Liter),0.644,No (Below 5 pico-curies/liter),0.025,No (Below 0.21 pico-curies/liter),0.068,No (Below 1.3 pico-curies/liter),0.003,No (Below 1.5 pico-curies/liter),74.6,Yes (Above 20 pico-curies/liter),3.13,No (Below 20 pico-curies/liter),71.1,Yes (Above 20 pico-curies/liter)
Section 3,Lechee Spring,8/11/98,111 4 46.2713,36 8 51.53341,Some Risk,68.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),60.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),3.8,"No (Below 1,300 micrograms/liter)",76.7,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.7,No (Below 50 micrograms/liter),0.22,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),8.2,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3,Yes (Above 2 micrograms/liter),9,No (Below 260 micrograms/liter),100,"No (Below 5,000 micrograms/liter)",-0.48,No (Below 15 pico-curies/liter),2.74,No (Below 50 pico-curies/liter),0.44,Yes (Above 0.047 pico-curies/liter),0.097,No (Below 5 Pico-curies per Liter),0.268,No (Below 5 pico-curies/liter),0.019,No (Below 0.21 pico-curies/liter),0.015,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),13.6,No (Below 20 pico-curies/liter),0.163,No (Below 20 pico-curies/liter),7.04,No (Below 20 pico-curies/liter)
Section 6,Indian Wells Chapter House,4/14/99,110 5 3.24718,35 24 2.72519,Some Risk,0,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2,No (Below 50 micrograms/liter),1060,"Yes (Above 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),21.9,"No (Below 1,300 micrograms/liter)",118,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),27.1,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),9.1,"No (Below 5,000 micrograms/liter)",0.1,No (Below 15 pico-curies/liter),6.23,No (Below 50 pico-curies/liter),0.78,Yes (Above 0.047 pico-curies/liter),0.062,No (Below 5 Pico-curies per Liter),0.552,No (Below 5 pico-curies/liter),0.008,No (Below 0.21 pico-curies/liter),0.002,No (Below 1.3 pico-curies/liter),0.002,No (Below 1.5 pico-curies/liter),0.08,No (Below 20 pico-curies/liter),-0.003,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter)
Section 2,South Cove Wash,5/17/99,109 13 8.3531,36 31 54.3474,Some Risk,47.4,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6,No (Below 50 micrograms/liter),254,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.7,Yes (Above 2 micrograms/liter),29.8,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",5.9,No (Below 15 pico-curies/liter),5.44,No (Below 50 pico-curies/liter),0.18,Yes (Above 0.047 pico-curies/liter),0.167,No (Below 5 Pico-curies per Liter),0.775,No (Below 5 pico-curies/liter),0.021,No (Below 0.21 pico-curies/liter),0.02,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),4.84,No (Below 20 pico-curies/liter),0.03,No (Below 20 pico-curies/liter),2.42,No (Below 20 pico-curies/liter)
Section 3,Tank 3T-541,7/28/98,111 3 23.9082,36 7 29.27038,Some Risk,55.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),7.3,No (Below 50 micrograms/liter),16.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),3.8,"No (Below 1,300 micrograms/liter)",76.1,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.9,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),67.7,No (Below 260 micrograms/liter),79.5,"No (Below 5,000 micrograms/liter)",1.25,No (Below 15 pico-curies/liter),3.09,No (Below 50 pico-curies/liter),0.5,Yes (Above 0.047 pico-curies/liter),0.044,No (Below 5 Pico-curies per Liter),1.16,No (Below 5 pico-curies/liter),0.006,No (Below 0.21 pico-curies/liter),0.031,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.55,No (Below 20 pico-curies/liter),0.039,No (Below 20 pico-curies/liter),0.09,No (Below 20 pico-curies/liter)
Section 6,Shonto Spring,7/7/98,110 5 44.2020,35 22 11.3034,Some Risk,73.3,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.6,No (Below 50 micrograms/liter),17.9,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.3,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),1.2,No (Below 260 micrograms/liter),10.2,"No (Below 5,000 micrograms/liter)",0.97,No (Below 15 pico-curies/liter),18.9,No (Below 50 pico-curies/liter),0.68,Yes (Above 0.047 pico-curies/liter),0.025,No (Below 5 Pico-curies per Liter),0.203,No (Below 5 pico-curies/liter),0.002,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.53,No (Below 20 pico-curies/liter),0.086,No (Below 20 pico-curies/liter),0.24,No (Below 20 pico-curies/liter)
Section 3,Tuba City Chapter House,4/15/99,111 14 8.5193,36 7 32.77739,Some Risk,40.9,"No (Below 1,000 micrograms/liter)",3.8,No (Below 6 micrograms/liter),2.6,No (Below 50 micrograms/liter),46.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),11.8,"No (Below 1,300 micrograms/liter)",21.8,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.2,Yes (Above 2 micrograms/liter),9.4,No (Below 260 micrograms/liter),12.1,"No (Below 5,000 micrograms/liter)",0.96,No (Below 15 pico-curies/liter),1.96,No (Below 50 pico-curies/liter),0.18,Yes (Above 0.047 pico-curies/liter),0.056,No (Below 5 Pico-curies per Liter),0.501,No (Below 5 pico-curies/liter),-0.002,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0.003,No (Below 1.5 pico-curies/liter),0.85,No (Below 20 pico-curies/liter),0.035,No (Below 20 pico-curies/liter),0.12,No (Below 20 pico-curies/liter)
Section 6,Dog Spring,7/7/98,110 5 0.70259,35 22 13.3884,Some Risk,57.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.5,No (Below 50 micrograms/liter),3.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),6.3,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.6,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),28.8,No (Below 260 micrograms/liter),24.2,"No (Below 5,000 micrograms/liter)",4.49,No (Below 15 pico-curies/liter),5.63,No (Below 50 pico-curies/liter),0.52,Yes (Above 0.047 pico-curies/liter),0.022,No (Below 5 Pico-curies per Liter),0.942,No (Below 5 pico-curies/liter),0.011,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),2.96,No (Below 20 pico-curies/liter),0.169,No (Below 20 pico-curies/liter),1.65,No (Below 20 pico-curies/liter)
Section 2,Aquaduct,5/18/99,109 12 9.9809,36 31 46.6265,Less Risk,44.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),15.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),461,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.6,No (Below 260 micrograms/liter),5.1,"No (Below 5,000 micrograms/liter)",3.19,No (Below 15 pico-curies/liter),2.8,No (Below 50 pico-curies/liter),0.41,Yes (Above 0.047 pico-curies/liter),0.056,No (Below 5 Pico-curies per Liter),0.383,No (Below 5 pico-curies/liter),-0.005,No (Below 0.21 pico-curies/liter),0.016,No (Below 1.3 pico-curies/liter),0.001,No (Below 1.5 pico-curies/liter),3.04,No (Below 20 pico-curies/liter),0.029,No (Below 20 pico-curies/liter),2.05,No (Below 20 pico-curies/liter)
Section 6,Malpais Spring,7/9/98,110 7 14.8068,35 19 52.6302,Some Risk,174,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),1.7,"No (Below 1,300 micrograms/liter)",83.4,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.8,No (Below 50 micrograms/liter),0.008,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),6.4,Yes (Above 2 micrograms/liter),9.7,No (Below 260 micrograms/liter),14.4,"No (Below 5,000 micrograms/liter)",1.03,No (Below 15 pico-curies/liter),8.82,No (Below 50 pico-curies/liter),0.7,Yes (Above 0.047 pico-curies/liter),-0.039,No (Below 5 Pico-curies per Liter),0.437,No (Below 5 pico-curies/liter),0.026,No (Below 0.21 pico-curies/liter),0.009,No (Below 1.3 pico-curies/liter),0.005,No (Below 1.5 pico-curies/liter),1.07,No (Below 20 pico-curies/liter),0.057,No (Below 20 pico-curies/liter),0.23,No (Below 20 pico-curies/liter)
Section 3,Yellowjacket Spring,8/13/98,111 13 25.737,36 6 30.68640,Some Risk,335,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.4,No (Below 50 micrograms/liter),95.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),2.1,"No (Below 1,300 micrograms/liter)",141,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),31.7,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.4,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.8,Yes (Above 2 micrograms/liter),29.3,No (Below 260 micrograms/liter),7.3,"No (Below 5,000 micrograms/liter)",4.3,No (Below 15 pico-curies/liter),4.09,No (Below 50 pico-curies/liter),0.56,Yes (Above 0.047 pico-curies/liter),0.141,No (Below 5 Pico-curies per Liter),0.722,No (Below 5 pico-curies/liter),0.024,No (Below 0.21 pico-curies/liter),0.021,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.87,No (Below 20 pico-curies/liter),0.239,No (Below 20 pico-curies/liter),1.08,No (Below 20 pico-curies/liter)
Section 6,Tank 507-1,6/30/98,110 15 41.487,35 33 58.3764,Some Risk,84.3,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4,No (Below 50 micrograms/liter),1.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),7.4,"No (Below 1,300 micrograms/liter)",111,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.8,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),20.1,"No (Below 5,000 micrograms/liter)",1.52,No (Below 15 pico-curies/liter),1.83,No (Below 50 pico-curies/liter),0.51,Yes (Above 0.047 pico-curies/liter),0.03,No (Below 5 Pico-curies per Liter),0.592,No (Below 5 pico-curies/liter),0.012,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.14,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),0.05,No (Below 20 pico-curies/liter)
Section 3,Lower Moenkopi Well,8/13/98,111 13 10.596,36 6 22.21199,Some Risk,53,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.8,No (Below 50 micrograms/liter),55.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.12,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),6.6,No (Below 260 micrograms/liter),84.5,"No (Below 5,000 micrograms/liter)",3.2,No (Below 15 pico-curies/liter),2.26,No (Below 50 pico-curies/liter),0.38,Yes (Above 0.047 pico-curies/liter),0.1,No (Below 5 Pico-curies per Liter),0.572,No (Below 5 pico-curies/liter),0,No (Below 0.21 pico-curies/liter),0.016,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),2.52,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),1.01,No (Below 20 pico-curies/liter)
Section 6,Shonetoh Spring,7/13/98,110 17 27.038,35 32 52.1141,Some Risk,81,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.8,No (Below 50 micrograms/liter),1.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),4.2,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.012,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.7,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),27.8,No (Below 260 micrograms/liter),91.4,"No (Below 5,000 micrograms/liter)",6.01,No (Below 15 pico-curies/liter),7.12,No (Below 50 pico-curies/liter),0.58,Yes (Above 0.047 pico-curies/liter),0.023,No (Below 5 Pico-curies per Liter),0.898,No (Below 5 pico-curies/liter),0.026,No (Below 0.21 pico-curies/liter),0.015,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),3.74,No (Below 20 pico-curies/liter),0.081,No (Below 20 pico-curies/liter),2.45,No (Below 20 pico-curies/liter)
Section 3,Gaging Station Spring,8/13/98,111 11 55.221,36 6 20.24578,Less Risk,118,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),99.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",40.3,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),8.2,No (Below 50 micrograms/liter),0.17,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),6.6,No (Below 260 micrograms/liter),7.6,"No (Below 5,000 micrograms/liter)",3.34,No (Below 15 pico-curies/liter),3.95,No (Below 50 pico-curies/liter),0.36,Yes (Above 0.047 pico-curies/liter),0.179,No (Below 5 Pico-curies per Liter),0.46,No (Below 5 pico-curies/liter),0.059,No (Below 0.21 pico-curies/liter),0.012,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.38,No (Below 20 pico-curies/liter),0.111,No (Below 20 pico-curies/liter),0.84,No (Below 20 pico-curies/liter)
Section 2,Yellow Cottonwood Spring,3/29/99,109 9 28.1081,36 33 38.6646,Some Risk,79.7,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),9.7,No (Below 50 micrograms/liter),194,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),10.3,"No (Below 1,300 micrograms/liter)",282,No (Below 300 micrograms/liter),1.7,No (Below 15 micrograms/liter),4.6,No (Below 50 micrograms/liter),0.068,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0.9,No (Below 100 micrograms/liter),3.4,Yes (Above 2 micrograms/liter),128,No (Below 260 micrograms/liter),83.8,"No (Below 5,000 micrograms/liter)",4.95,No (Below 15 pico-curies/liter),2.89,No (Below 50 pico-curies/liter),0.65,Yes (Above 0.047 pico-curies/liter),0.032,No (Below 5 Pico-curies per Liter),0.297,No (Below 5 pico-curies/liter),0.013,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0.003,No (Below 1.5 pico-curies/liter),5.74,No (Below 20 pico-curies/liter),0.304,No (Below 20 pico-curies/liter),2.87,No (Below 20 pico-curies/liter)
Section 6,Lukai Spring,7/13/98,110 21 1.2761,35 31 10.8113,Some Risk,79.2,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),0.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),28.2,"No (Below 1,300 micrograms/liter)",20.8,No (Below 300 micrograms/liter),1.8,No (Below 15 micrograms/liter),0,No (Below 50 micrograms/liter),0.012,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),29,No (Below 260 micrograms/liter),317,"No (Below 5,000 micrograms/liter)",5.58,No (Below 15 pico-curies/liter),10.8,No (Below 50 pico-curies/liter),4.01,Yes (Above 0.047 pico-curies/liter),0.018,No (Below 5 Pico-curies per Liter),0.699,No (Below 5 pico-curies/liter),-0.009,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0.005,No (Below 1.5 pico-curies/liter),3.33,No (Below 20 pico-curies/liter),0.115,No (Below 20 pico-curies/liter),1.9,No (Below 20 pico-curies/liter)
Section 6,Cottonwoods Spring,7/13/98,110 18 18.902,35 29 45.4152,Some Risk,115,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.6,No (Below 50 micrograms/liter),0.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",21.1,No (Below 300 micrograms/liter),5.6,No (Below 15 micrograms/liter),15.9,No (Below 50 micrograms/liter),0.015,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),31.3,No (Below 260 micrograms/liter),22.7,"No (Below 5,000 micrograms/liter)",4.33,No (Below 15 pico-curies/liter),9.08,No (Below 50 pico-curies/liter),2.63,Yes (Above 0.047 pico-curies/liter),0.05,No (Below 5 Pico-curies per Liter),0.768,No (Below 5 pico-curies/liter),-0.003,No (Below 0.21 pico-curies/liter),0.027,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.28,No (Below 20 pico-curies/liter),0.183,No (Below 20 pico-curies/liter),0.6,No (Below 20 pico-curies/liter)
Section 3,Wisemen Spring,8/13/98,111 12 34.868,36 6 17.09881,Less Risk,521,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),26.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",257,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),13.3,No (Below 50 micrograms/liter),0.18,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),7.7,No (Below 260 micrograms/liter),3.9,"No (Below 5,000 micrograms/liter)",4.36,No (Below 15 pico-curies/liter),3.73,No (Below 50 pico-curies/liter),0.31,Yes (Above 0.047 pico-curies/liter),0.063,No (Below 5 Pico-curies per Liter),0.799,No (Below 5 pico-curies/liter),-0.009,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0.006,No (Below 1.5 pico-curies/liter),2.46,No (Below 20 pico-curies/liter),-0.01,No (Below 20 pico-curies/liter),0.96,No (Below 20 pico-curies/liter)
Section 6,7H-180,4/14/99,110 24 18.811,35 29 57.7337,Some Risk,0,"No (Below 1,000 micrograms/liter)",2,No (Below 6 micrograms/liter),6.1,No (Below 50 micrograms/liter),2.3,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),11.9,"No (Below 1,300 micrograms/liter)",246,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),2.4,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),24.6,No (Below 260 micrograms/liter),90.9,"No (Below 5,000 micrograms/liter)",3.26,No (Below 15 pico-curies/liter),5.13,No (Below 50 pico-curies/liter),0.37,Yes (Above 0.047 pico-curies/liter),0.02,No (Below 5 Pico-curies per Liter),0.483,No (Below 5 pico-curies/liter),0,No (Below 0.21 pico-curies/liter),0.003,No (Below 1.3 pico-curies/liter),0.003,No (Below 1.5 pico-curies/liter),1.95,No (Below 20 pico-curies/liter),0.088,No (Below 20 pico-curies/liter),1.04,No (Below 20 pico-curies/liter)
